Team Alt Name,Opp Alt Name,GameID,Season,Week,Date,teamgame,Conf,BCS?,Team,W,L,TeamCoach,vs/@,oConf,oBCS?,Opp,oW,oL,OppCoach,OT?,Pts,oPts,diff,Res,W,L,cW,cL,O/U#,o/u,Spread,Sw/l,Bowl,Attend.,,APwk,wkAP,COwk,wkCO,BCSwk,wkBCS,pAP,pCO,fAP,fCO,AP,Apv,CO,Cov,BCS,w,l,Team,AP,Apv,CO,Cov,BCS,w,l,,pAP,pCO,fAP,fCO,AP,Apv,CO,Cov,BCS,w,l,Opp,AP,Apv,CO,Cov,BCS,w,l,,#Plays,ptspplay,ypplay,yprush,yppass,#Rush,Gain,Loss,NetRush,RushTD,#PassAtt,#PassComp,Int,PassYds,PassTD,Tot.Yds,#Rec.,RecYds,RecTD,#Punts,PuntYds,YardspPunt,PuntRet#,PuntRetYds,PuntRetTD,KORet#,KORetYds,KORetTD,Tot.TD,XPAtt,XPComp,X2Att,X2Comp,FGAtt,FGMade,Safeties,FDRush,FDPass,FDPen,Tot.FD,#Pen,PenYds,#Fumb,FumbLos,DPassInt,DPassIntRetYds,DPassIntRetTD,DFumRec,DFumRetYds,DFumRetTD,,#Plays,playppt,ypplay,yprush,yppass,#Rush,Gain,Loss,NetRush,RushTD,#PassAtt,#PassComp,Int,PassYds,PassTD,Tot.Yds,#Rec.,RecYds,RecTD,#Punts,PuntYds,YardspPunt,PuntRet#,PuntRetYds,PuntRetTD,KORet#,KORetYds,KORetTD,Tot.TD,XPAtt,XPComp,X2Att,X2Comp,FGAtt,FGMade,Safeties,FDRush,FDPass,FDPen,Tot.FD,#Pen,PenYds,#Fumb,FumbLos,DPassInt,DPassIntRetYds,DPassIntRetTD,DFumRec,DFumRetYds,DFumRetTD
Brigham Young,Nevada,BYU-Nevada,2010,4,9/25/10,4,MtnWest,non,BYU,7,6,Bronco Mendenhall,vs,WAC,non,Nevada,13,1,Chris Ault,,13,27,-14,L,0,1,0,0,63.5,u,4.5,L,,"61,471",,3,4,3,4,,,34,28,38,NR,NR,NR,NR,NR,NR,1,2,BYU,NR,NR,NR,NR,NR,1,3,,NR,49,11,13,27,41,26,58,NR,3,0,Nevada,25,123,25,102,NR,4,0,,70,0.2,4.6,3.6,5.1,25,105,14,91,1,45,24,0,229,0,320,24,229,0,3,94,31.3,1,8,0,3,103,0,1,1,1,0,0,2,2,0,3,16,2,21,1,5,0,0,1,14,0,0,0,0,,79,0.3,5.5,4.5,7.5,53,242,3,239,2,26,16,1,196,1,435,16,196,1,2,112,56.0,1,0,0,2,32,0,3,3,3,0,0,2,2,0,16,7,0,23,6,65,3,1,0,0,0,0,0,0
Nevada,Brigham Young,BYU-Nevada,2010,4,9/25/10,4,WAC,non,Nevada,13,1,Chris Ault,@,MtnWest,non,BYU,7,6,Bronco Mendenhall,,27,13,14,W,1,0,0,0,63.5,u,-4.5,W,,"61,471",,3,4,3,4,,,NR,49,11,13,27,41,26,58,NR,3,0,Nevada,25,123,25,102,NR,4,0,,34,28,38,NR,NR,NR,NR,NR,NR,1,2,BYU,NR,NR,NR,NR,NR,1,3,,79,0.3,5.5,4.5,7.5,53,242,3,239,2,26,16,1,196,1,435,16,196,1,2,112,56.0,1,0,0,2,32,0,3,3,3,0,0,2,2,0,16,7,0,23,6,65,3,1,0,0,0,0,0,0,,70,0.2,4.6,3.6,5.1,25,105,14,91,1,45,24,0,229,0,320,24,229,0,3,94,31.3,1,8,0,3,103,0,1,1,1,0,0,2,2,0,3,16,2,21,1,5,0,0,1,14,0,0,0,0
Central Arkansas,Tulsa,C Arkansas-Tulsa,2010,4,9/25/10,1,zAA,zAA,C Arkansas,0,1,Clint Conque,@,CUSA,non,Tulsa,10,3,Todd Graham,,14,41,-27,L,0,1,0,0,63.0,u,23.0,W,,"21,928",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,C Arkansas,NR,NR,NR,NR,NR,0,1,,NR,NR,24,27,NR,NR,NR,NR,NR,1,2,Tulsa,NR,NR,NR,NR,NR,2,2,,71,0.2,4.5,3.5,5.7,39,162,26,136,1,32,15,1,183,1,319,15,183,1,8,311,38.9,1,0,0,6,108,0,2,2,2,0,0,0,0,0,6,10,2,18,3,18,1,1,2,10,0,0,0,0,,79,0.5,6.8,6.7,6.9,42,307,25,282,2,37,24,2,257,3,539,24,257,3,4,127,31.8,3,17,0,2,42,0,5,5,5,0,0,2,2,0,16,12,1,29,5,55,1,0,1,37,0,0,0,0
Tulsa,Central Arkansas,C Arkansas-Tulsa,2010,4,9/25/10,4,CUSA,non,Tulsa,10,3,Todd Graham,vs,zAA,zAA,C Arkansas,0,1,Clint Conque,,41,14,27,W,1,0,0,0,63.0,u,-23.0,W,,"21,928",,3,4,3,4,,,NR,NR,24,27,NR,NR,NR,NR,NR,1,2,Tulsa,NR,NR,NR,NR,NR,2,2,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,C Arkansas,NR,NR,NR,NR,NR,0,1,,79,0.5,6.8,6.7,6.9,42,307,25,282,2,37,24,2,257,3,539,24,257,3,4,127,31.8,3,17,0,2,42,0,5,5,5,0,0,2,2,0,16,12,1,29,5,55,1,0,1,37,0,0,0,0,,71,0.2,4.5,3.5,5.7,39,162,26,136,1,32,15,1,183,1,319,15,183,1,8,311,38.9,1,0,0,6,108,0,2,2,2,0,0,0,0,0,6,10,2,18,3,18,1,1,2,10,0,0,0,0
Central Michigan,Northwestern,C Michigan-Northwestern,2010,4,9/25/10,4,MAC,non,C Michigan,3,9,Dan Enos,@,Big10,BCS,Northwestern,7,6,Pat Fitzgerald,,25,30,-5,L,0,1,0,0,50.5,o,7.0,W,,"30,075",,3,4,3,4,,,43,49,NR,NR,NR,NR,NR,NR,NR,2,1,C Michigan,NR,NR,NR,NR,NR,2,2,,NR,47,NR,NR,37,3,32,15,NR,3,0,Northwestern,35,4,30,21,NR,4,0,,66,0.4,6.4,3.3,8.1,23,106,30,76,2,43,29,2,347,2,423,29,347,2,4,122,30.5,2,11,0,5,96,0,4,3,1,1,0,1,0,0,5,16,3,24,9,90,1,1,1,7,0,0,0,0,,77,0.4,5.6,3.2,9.3,47,164,15,149,2,30,23,1,280,2,429,23,280,2,4,146,36.5,0,0,0,3,71,0,4,4,3,0,0,2,1,0,8,16,4,28,11,106,1,1,2,6,0,0,0,0
Northwestern,Central Michigan,C Michigan-Northwestern,2010,4,9/25/10,4,Big10,BCS,Northwestern,7,6,Pat Fitzgerald,vs,MAC,non,C Michigan,3,9,Dan Enos,,30,25,5,W,1,0,0,0,50.5,o,-7.0,L,,"30,075",,3,4,3,4,,,NR,47,NR,NR,37,3,32,15,NR,3,0,Northwestern,35,4,30,21,NR,4,0,,43,49,NR,NR,NR,NR,NR,NR,NR,2,1,C Michigan,NR,NR,NR,NR,NR,2,2,,77,0.4,5.6,3.2,9.3,47,164,15,149,2,30,23,1,280,2,429,23,280,2,4,146,36.5,0,0,0,3,71,0,4,4,3,0,0,2,1,0,8,16,4,28,11,106,1,1,2,6,0,0,0,0,,66,0.4,6.4,3.3,8.1,23,106,30,76,2,43,29,2,347,2,423,29,347,2,4,122,30.5,2,11,0,5,96,0,4,3,1,1,0,1,0,0,5,16,3,24,9,90,1,1,1,7,0,0,0,0
Charleston Southern,Hawaii,Ch Southern-Hawaii,2010,4,9/25/10,1,zAA,zAA,Ch Southern,0,2,Jay Mills,@,WAC,non,Hawaii,10,4,Greg McMackin,,7,66,-59,L,0,1,0,0,65.0,o,31.0,W,,"30,300",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Ch Southern,NR,NR,NR,NR,NR,0,1,,NR,NR,37,34,NR,NR,NR,NR,NR,1,2,Hawaii,NR,NR,NR,NR,NR,2,2,,77,0.1,2.9,1.3,4.9,41,116,64,52,0,36,19,2,175,1,227,19,175,1,6,208,34.7,0,0,0,9,148,0,1,1,1,0,0,1,0,0,6,7,2,15,5,25,4,2,3,11,0,0,0,0,,65,1.0,9.0,4.0,11.7,23,105,12,93,2,42,26,3,490,7,583,26,490,7,1,50,50.0,2,0,0,2,35,0,9,9,9,0,0,1,1,0,6,18,1,25,7,81,1,1,2,25,0,2,19,0
Hawaii,Charleston Southern,Ch Southern-Hawaii,2010,4,9/25/10,4,WAC,non,Hawaii,10,4,Greg McMackin,vs,zAA,zAA,Ch Southern,0,2,Jay Mills,,66,7,59,W,1,0,0,0,65.0,o,-31.0,W,,"30,300",,3,4,3,4,,,NR,NR,37,34,NR,NR,NR,NR,NR,1,2,Hawaii,NR,NR,NR,NR,NR,2,2,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Ch Southern,NR,NR,NR,NR,NR,0,1,,65,1.0,9.0,4.0,11.7,23,105,12,93,2,42,26,3,490,7,583,26,490,7,1,50,50.0,2,0,0,2,35,0,9,9,9,0,0,1,1,0,6,18,1,25,7,81,1,1,2,25,0,2,19,0,,77,0.1,2.9,1.3,4.9,41,116,64,52,0,36,19,2,175,1,227,19,175,1,6,208,34.7,0,0,0,9,148,0,1,1,1,0,0,1,0,0,6,7,2,15,5,25,4,2,3,11,0,0,0,0
Cincinnati,Oklahoma,Cincinnati-Oklahoma,2010,4,9/25/10,4,BigEast,BCS,Cincinnati,4,8,Butch Jones,vs,Big12,BCS,Oklahoma,12,2,Bob Stoops,,29,31,-2,L,0,1,0,0,52.0,o,14.0,W,,"58,253",,3,4,3,4,,,26,26,NR,NR,NR,NR,NR,NR,NR,1,2,Cincinnati,NR,NR,NR,NR,NR,1,3,,7,8,6,6,8,1114,9,1060,NR,3,0,Oklahoma,8,1095,8,1083,NR,4,0,,70,0.4,6.6,4.9,8.0,32,186,30,156,0,38,23,1,305,3,461,23,305,3,6,295,49.2,3,39,0,5,85,0,3,3,2,0,0,3,3,0,7,11,4,22,7,72,4,3,1,0,0,0,0,0,,94,0.3,4.8,1.9,7.3,43,118,36,82,2,51,36,1,370,2,452,36,370,2,8,327,40.9,4,16,0,3,85,0,4,4,4,0,0,2,1,0,6,19,2,27,13,113,1,0,1,0,0,0,0,0
Oklahoma,Cincinnati,Cincinnati-Oklahoma,2010,4,9/25/10,4,Big12,BCS,Oklahoma,12,2,Bob Stoops,@,BigEast,BCS,Cincinnati,4,8,Butch Jones,,31,29,2,W,1,0,0,0,52.0,o,-14.0,L,,"58,253",,3,4,3,4,,,7,8,6,6,8,1114,9,1060,NR,3,0,Oklahoma,8,1095,8,1083,NR,4,0,,26,26,NR,NR,NR,NR,NR,NR,NR,1,2,Cincinnati,NR,NR,NR,NR,NR,1,3,,94,0.3,4.8,1.9,7.3,43,118,36,82,2,51,36,1,370,2,452,36,370,2,8,327,40.9,4,16,0,3,85,0,4,4,4,0,0,2,1,0,6,19,2,27,13,113,1,0,1,0,0,0,0,0,,70,0.4,6.6,4.9,8.0,32,186,30,156,0,38,23,1,305,3,461,23,305,3,6,295,49.2,3,39,0,5,85,0,3,3,2,0,0,3,3,0,7,11,4,22,7,72,4,3,1,0,0,0,0,0
Colgate,Syracuse,Colgate-Syracuse,2010,4,9/25/10,1,zAA,zAA,Colgate,0,1,Dick Biddle,@,BigEast,BCS,Syracuse,8,5,Doug Marrone,,7,42,-35,L,0,1,0,0,54.0,u,29.0,W,,"38,068",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Colgate,NR,NR,NR,NR,NR,0,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,1,Syracuse,NR,NR,NR,NR,NR,3,1,,83,0.1,4.5,4.4,4.7,52,242,12,230,1,31,20,2,146,0,376,20,146,0,3,122,40.7,0,0,0,7,138,0,1,1,1,0,0,0,0,0,16,6,1,23,9,80,1,0,0,0,0,0,0,0,,46,0.9,9.5,8.6,11.1,29,260,11,249,5,17,9,0,188,1,437,9,188,1,2,93,46.5,2,44,0,2,35,0,6,6,6,0,0,0,0,0,12,6,2,20,5,47,1,1,2,42,0,0,0,0
Syracuse,Colgate,Colgate-Syracuse,2010,4,9/25/10,4,BigEast,BCS,Syracuse,8,5,Doug Marrone,vs,zAA,zAA,Colgate,0,1,Dick Biddle,,42,7,35,W,1,0,0,0,54.0,u,-29.0,W,,"38,068",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,1,Syracuse,NR,NR,NR,NR,NR,3,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Colgate,NR,NR,NR,NR,NR,0,1,,46,0.9,9.5,8.6,11.1,29,260,11,249,5,17,9,0,188,1,437,9,188,1,2,93,46.5,2,44,0,2,35,0,6,6,6,0,0,0,0,0,12,6,2,20,5,47,1,1,2,42,0,0,0,0,,83,0.1,4.5,4.4,4.7,52,242,12,230,1,31,20,2,146,0,376,20,146,0,3,122,40.7,0,0,0,7,138,0,1,1,1,0,0,0,0,0,16,6,1,23,9,80,1,0,0,0,0,0,0,0
Colorado State,Idaho,Colorado St-Idaho,2010,4,9/25/10,4,MtnWest,non,Colorado St,3,9,Steve Fairchild,vs,WAC,non,Idaho,6,7,Robb Akey,,36,34,2,W,1,0,0,0,50.5,o,8.0,W,,"23,925",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,3,Colorado St,NR,NR,NR,NR,NR,1,3,,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,1,Idaho,NR,NR,NR,NR,NR,2,2,,68,0.5,7.3,3.4,10.7,32,150,42,108,1,36,29,1,386,3,494,29,386,3,2,103,51.5,1,20,0,4,107,0,4,4,3,0,0,4,3,0,9,14,3,26,11,87,0,0,0,0,0,0,0,0,,63,0.5,7.3,3.4,11.6,33,139,27,112,1,30,25,0,347,3,459,25,347,3,2,88,44.0,1,-2,0,5,131,0,4,4,4,0,0,2,2,0,8,14,0,22,7,58,1,1,1,0,0,0,0,0
Idaho,Colorado State,Colorado St-Idaho,2010,4,9/25/10,4,WAC,non,Idaho,6,7,Robb Akey,@,MtnWest,non,Colorado St,3,9,Steve Fairchild,,34,36,-2,L,0,1,0,0,50.5,o,-8.0,L,,"23,925",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,1,Idaho,NR,NR,NR,NR,NR,2,2,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,3,Colorado St,NR,NR,NR,NR,NR,1,3,,63,0.5,7.3,3.4,11.6,33,139,27,112,1,30,25,0,347,3,459,25,347,3,2,88,44.0,1,-2,0,5,131,0,4,4,4,0,0,2,2,0,8,14,0,22,7,58,1,1,1,0,0,0,0,0,,68,0.5,7.3,3.4,10.7,32,150,42,108,1,36,29,1,386,3,494,29,386,3,2,103,51.5,1,20,0,4,107,0,4,4,3,0,0,4,3,0,9,14,3,26,11,87,0,0,0,0,0,0,0,0
Eastern Michigan,Ohio State,E Michigan-Ohio St,2010,4,9/25/10,4,MAC,non,E Michigan,2,10,Ron English,@,Big10,BCS,Ohio St,12,1,Jim Tressel,,20,73,-53,L,0,1,0,0,57.0,o,44.0,L,,"105,017",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,3,E Michigan,NR,NR,NR,NR,NR,0,4,,2,2,5,5,2,1435,2,1410,NR,3,0,Ohio St,2,1431,2,1412,NR,4,0,,57,0.4,4.4,1.4,7.4,29,64,24,40,1,28,14,0,208,2,248,14,208,2,10,374,37.4,1,27,0,9,168,0,3,3,2,0,0,0,0,0,1,10,1,12,3,45,1,1,0,0,0,0,0,0,,74,1.0,8.7,8.3,9.2,41,345,3,342,4,33,26,0,303,6,645,26,303,6,1,39,39.0,5,25,0,4,112,0,10,10,10,0,0,1,1,0,14,14,2,30,4,45,1,1,0,0,0,0,0,0
Ohio State,Eastern Michigan,E Michigan-Ohio St,2010,4,9/25/10,4,Big10,BCS,Ohio St,12,1,Jim Tressel,vs,MAC,non,E Michigan,2,10,Ron English,,73,20,53,W,1,0,0,0,57.0,o,-44.0,W,,"105,017",,3,4,3,4,,,2,2,5,5,2,1435,2,1410,NR,3,0,Ohio St,2,1431,2,1412,NR,4,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,3,E Michigan,NR,NR,NR,NR,NR,0,4,,74,1.0,8.7,8.3,9.2,41,345,3,342,4,33,26,0,303,6,645,26,303,6,1,39,39.0,5,25,0,4,112,0,10,10,10,0,0,1,1,0,14,14,2,30,4,45,1,1,0,0,0,0,0,0,,57,0.4,4.4,1.4,7.4,29,64,24,40,1,28,14,0,208,2,248,14,208,2,10,374,37.4,1,27,0,9,168,0,3,3,2,0,0,0,0,0,1,10,1,12,3,45,1,1,0,0,0,0,0,0
Florida Atlantic,North Texas,Florida Atl-N Texas,2010,4,9/25/10,3,SunBelt,non,Florida Atl,4,8,Howard Schnellenberger,vs,SunBelt,non,N Texas,3,9,Todd Dodge,,17,21,-4,L,0,1,0,1,51.0,u,-10.0,L,,"15,143",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,Florida Atl,NR,NR,NR,NR,NR,1,2,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,3,N Texas,NR,NR,NR,NR,NR,1,3,,55,0.3,6.5,3.5,8.8,24,93,9,84,1,31,20,1,273,1,357,20,273,1,3,158,52.7,1,10,0,3,71,0,2,2,2,0,0,2,1,0,4,13,0,17,8,40,1,1,1,0,0,0,0,0,,69,0.3,5.8,4.8,9.7,54,282,25,257,1,15,10,1,146,2,403,10,146,2,2,104,52.0,1,18,0,3,72,0,3,3,3,0,0,1,0,0,14,7,1,22,3,15,3,1,1,6,0,0,0,0
North Texas,Florida Atlantic,Florida Atl-N Texas,2010,4,9/25/10,4,SunBelt,non,N Texas,3,9,Todd Dodge,@,SunBelt,non,Florida Atl,4,8,Howard Schnellenberger,,21,17,4,W,1,0,1,0,51.0,u,10.0,W,,"15,143",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,3,N Texas,NR,NR,NR,NR,NR,1,3,,NR,NR,NR,NR,NR,NR,NR,NR,NR,1,1,Florida Atl,NR,NR,NR,NR,NR,1,2,,69,0.3,5.8,4.8,9.7,54,282,25,257,1,15,10,1,146,2,403,10,146,2,2,104,52.0,1,18,0,3,72,0,3,3,3,0,0,1,0,0,14,7,1,22,3,15,3,1,1,6,0,0,0,0,,55,0.3,6.5,3.5,8.8,24,93,9,84,1,31,20,1,273,1,357,20,273,1,3,158,52.7,1,10,0,3,71,0,2,2,2,0,0,2,1,0,4,13,0,17,8,40,1,1,1,0,0,0,0,0
Florida International,Maryland,Florida Intl-Maryland,2010,4,9/25/10,3,SunBelt,non,Florida Intl,7,6,Mario Cristobal,@,ACC,BCS,Maryland,9,4,Ralph Friedgen,,28,42,-14,L,0,1,0,0,45.0,o,11.5,L,,"33,254",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,2,Florida Intl,NR,NR,NR,NR,NR,0,3,,NR,NR,23,24,NR,NR,NR,NR,NR,2,1,Maryland,NR,NR,NR,NR,NR,3,1,,98,0.3,4.8,2.9,6.1,40,132,15,117,2,58,35,2,355,2,472,35,355,2,7,334,47.7,4,14,0,7,138,0,4,4,4,0,0,0,0,0,6,19,3,28,10,91,2,0,0,0,0,0,0,0,,55,0.8,7.6,6.0,9.3,28,190,21,169,3,27,18,0,250,2,419,18,250,2,8,320,40.0,6,135,1,4,47,0,6,6,6,0,0,1,0,0,2,10,3,15,8,68,2,0,2,2,0,0,0,0
Maryland,Florida International,Florida Intl-Maryland,2010,4,9/25/10,4,ACC,BCS,Maryland,9,4,Ralph Friedgen,vs,SunBelt,non,Florida Intl,7,6,Mario Cristobal,,42,28,14,W,1,0,0,0,45.0,o,-11.5,W,,"33,254",,3,4,3,4,,,NR,NR,23,24,NR,NR,NR,NR,NR,2,1,Maryland,NR,NR,NR,NR,NR,3,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,2,Florida Intl,NR,NR,NR,NR,NR,0,3,,55,0.8,7.6,6.0,9.3,28,190,21,169,3,27,18,0,250,2,419,18,250,2,8,320,40.0,6,135,1,4,47,0,6,6,6,0,0,1,0,0,2,10,3,15,8,68,2,0,2,2,0,0,0,0,,98,0.3,4.8,2.9,6.1,40,132,15,117,2,58,35,2,355,2,472,35,355,2,7,334,47.7,4,14,0,7,138,0,4,4,4,0,0,0,0,0,6,19,3,28,10,91,2,0,0,0,0,0,0,0
Florida State,Wake Forest,Florida St-Wake Forest,2010,4,9/25/10,4,ACC,BCS,Florida St,10,4,Jimbo Fisher,vs,ACC,BCS,Wake Forest,3,9,Jim Grobe,,31,0,31,W,1,0,1,0,62.0,u,-20.0,W,,"61,647",,3,4,3,4,,,20,20,17,16,28,40,27,56,NR,2,1,Florida St,27,51,26,84,NR,3,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,1,Wake Forest,NR,NR,NR,NR,NR,2,2,,78,0.4,6.2,5.2,7.3,39,229,28,201,1,39,26,0,284,3,485,26,284,3,1,26,26.0,5,25,0,1,22,0,4,4,4,0,0,2,1,0,14,13,1,28,8,85,2,2,1,0,0,0,0,0,,59,0.0,3.1,2.5,4.8,42,148,45,103,0,17,11,1,82,0,185,11,82,0,6,257,42.8,0,0,0,4,67,0,0,0,0,0,0,0,0,0,10,0,2,12,5,42,2,1,0,0,0,0,0,0
Wake Forest,Florida State,Florida St-Wake Forest,2010,4,9/25/10,4,ACC,BCS,Wake Forest,3,9,Jim Grobe,@,ACC,BCS,Florida St,10,4,Jimbo Fisher,,0,31,-31,L,0,1,0,1,62.0,u,20.0,L,,"61,647",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,2,1,Wake Forest,NR,NR,NR,NR,NR,2,2,,20,20,17,16,28,40,27,56,NR,2,1,Florida St,27,51,26,84,NR,3,1,,59,0.0,3.1,2.5,4.8,42,148,45,103,0,17,11,1,82,0,185,11,82,0,6,257,42.8,0,0,0,4,67,0,0,0,0,0,0,0,0,0,10,0,2,12,5,42,2,1,0,0,0,0,0,0,,78,0.4,6.2,5.2,7.3,39,229,28,201,1,39,26,0,284,3,485,26,284,3,1,26,26.0,5,25,0,1,22,0,4,4,4,0,0,2,1,0,14,13,1,28,8,85,2,2,1,0,0,0,0,0
Florida,Kentucky,Florida-Kentucky,2010,4,9/25/10,4,SEC,BCS,Florida,8,5,Urban Meyer,vs,SEC,BCS,Kentucky,6,7,Joker Phillips,,48,14,34,W,1,0,1,0,49.5,o,-14.0,W,,"90,547",,3,4,3,4,,,4,3,31,32,9,1044,8,1092,NR,3,0,Florida,7,1132,7,1155,NR,4,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,0,Kentucky,NR,NR,NR,NR,NR,3,1,,69,0.7,6.8,5.3,8.1,33,182,6,176,5,36,25,1,290,1,466,25,290,1,3,168,56.0,3,38,0,2,39,0,7,7,6,0,0,0,0,0,11,14,1,26,9,65,0,0,2,62,1,0,0,0,,69,0.2,5.1,3.5,6.2,28,112,13,99,0,41,22,2,253,2,352,22,253,2,5,201,40.2,1,21,0,5,102,0,2,2,2,0,0,1,0,0,7,13,3,23,7,44,0,0,1,0,0,0,0,0
Kentucky,Florida,Florida-Kentucky,2010,4,9/25/10,4,SEC,BCS,Kentucky,6,7,Joker Phillips,@,SEC,BCS,Florida,8,5,Urban Meyer,,14,48,-34,L,0,1,0,1,49.5,o,14.0,L,,"90,547",,3,4,3,4,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,3,0,Kentucky,NR,NR,NR,NR,NR,3,1,,4,3,31,32,9,1044,8,1092,NR,3,0,Florida,7,1132,7,1155,NR,4,0,,69,0.2,5.1,3.5,6.2,28,112,13,99,0,41,22,2,253,2,352,22,253,2,5,201,40.2,1,21,0,5,102,0,2,2,2,0,0,1,0,0,7,13,3,23,7,44,0,0,1,0,0,0,0,0,,69,0.7,6.8,5.3,8.1,33,182,6,176,5,36,25,1,290,1,466,25,290,1,3,168,56.0,3,38,0,2,39,0,7,7,6,0,0,0,0,0,11,14,1,26,9,65,0,0,2,62,1,0,0,0
Fresno State,Mississippi,Fresno St-Mississippi,2010,4,9/25/10,3,WAC,non,Fresno St,8,5,Pat Hill,@,SEC,BCS,Mississippi,4,8,Houston Nutt,,38,55,-17,L,0,1,0,0,52.0,o,2.5,L,,"55,267",,3,4,3,4,,,NR,NR,NR,NR,30,35,35,7,NR,2,0,Fresno St,NR,NR,NR,NR,NR,2,1,,41,30,NR,NR,NR,NR,NR,NR,NR,1,2,Mississippi,NR,NR,NR,NR,NR,2,2,,76,0.5,5.5,0.9,9.1,33,94,64,30,1,43,32,0,390,4,420,32,390,4,4,148,37.0,1,8,0,6,145,0,5,5,5,0,0,3,1,0,6,16,1,23,5,35,1,1,1,39,0,0,0,0,,59,0.9,9.8,9.0,12.8,47,448,23,425,4,12,8,1,153,2,578,8,153,2,1,40,40.0,2,34,1,6,105,0,7,7,7,0,0,3,2,0,13,6,0,19,3,20,3,1,0,0,0,1,30,0
Mississippi,Fresno State,Fresno St-Mississippi,2010,4,9/25/10,4,SEC,BCS,Mississippi,4,8,Houston Nutt,vs,WAC,non,Fresno St,8,5,Pat Hill,,55,38,17,W,1,0,0,0,52.0,o,-2.5,W,,"55,267",,3,4,3,4,,,41,30,NR,NR,NR,NR,NR,NR,NR,1,2,Mississippi,NR,NR,NR,NR,NR,2,2,,NR,NR,NR,NR,30,35,35,7,NR,2,0,Fresno St,NR,NR,NR,NR,NR,2,1,,59,0.9,9.8,9.0,12.8,47,448,23,425,4,12,8,1,153,2,578,8,153,2,1,40,40.0,2,34,1,6,105,0,7,7,7,0,0,3,2,0,13,6,0,19,3,20,3,1,0,0,0,1,30,0,,76,0.5,5.5,0.9,9.1,33,94,64,30,1,43,32,0,390,4,420,32,390,4,4,148,37.0,1,8,0,6,145,0,5,5,5,0,0,3,1,0,6,16,1,23,5,35,1,1,1,39,0,0,0,0
Georgia Tech,North Carolina State,GA Tech-NC State,2010,4,9/25/10,4,ACC,BCS,GA Tech,6,7,Paul Johnson,vs,ACC,BCS,NC State,9,4,Tom O'Brien,,28,45,-17,L,0,1,0,1,59.0,o,-8.0,L,,"48,825",,3,4,3,4,,,16,17,NR,NR,33,14,30,24,NR,2,1,GA Tech,NR,NR,NR,NR,NR,2,2,,NR,NR,25,25,33,14,35,7,NR,3,0,NC State,23,166,27,80,NR,4,0,,66,0.4,5.5,5.1,6.4,48,282,35,247,2,18,5,0,116,1,363,5,116,1,4,114,28.5,2,2,0,7,173,0,4,4,4,0,0,0,0,0,11,4,0,15,4,35,4,2,1,33,1,0,0,0,,81,0.6,6.5,4.0,9.0,40,182,23,159,2,41,28,1,368,3,527,28,368,3,3,112,37.3,2,25,1,5,88,0,6,6,6,0,0,3,1,0,8,18,1,27,4,35,1,1,0,0,0,0,0,0
North Carolina State,Georgia Tech,GA Tech-NC State,2010,4,9/25/10,4,ACC,BCS,NC State,9,4,Tom O'Brien,@,ACC,BCS,GA Tech,6,7,Paul Johnson,,45,28,17,W,1,0,1,0,59.0,o,8.0,W,,"48,825",,3,4,3,4,,,NR,NR,25,25,33,14,35,7,NR,3,0,NC State,23,166,27,80,NR,4,0,,16,17,NR,NR,33,14,30,24,NR,2,1,GA Tech,NR,NR,NR,NR,NR,2,2,,81,0.6,6.5,4.0,9.0,40,182,23,159,2,41,28,1,368,3,527,28,368,3,3,112,37.3,2,25,1,5,88,0,6,6,6,0,0,3,1,0,8,18,1,27,4,35,1,1,0,0,0,0,0,0,,66,0.4,5.5,5.1,6.4,48,282,35,247,2,18,5,0,116,1,363,5,116,1,4,114,28.5,2,2,0,7,173,0,4,4,4,0,0,0,0,0,11,4,0,15,4,35,4,2,1,33,1,0,0,0
