Team Alt Name,Opp Alt Name,GameID,Season,Week,Date,teamgame,Conf,BCS?,Team,W,L,TeamCoach,vs/@,oConf,oBCS?,Opp,oW,oL,OppCoach,OT?,Pts,oPts,diff,Res,W,L,cW,cL,O/U#,o/u,Spread,Sw/l,Bowl,Attend.,,APwk,wkAP,COwk,wkCO,BCSwk,wkBCS,pAP,pCO,fAP,fCO,AP,Apv,CO,Cov,BCS,w,l,Team,AP,Apv,CO,Cov,BCS,w,l,,pAP,pCO,fAP,fCO,AP,Apv,CO,Cov,BCS,w,l,Opp,AP,Apv,CO,Cov,BCS,w,l,,#Plays,ptspplay,ypplay,yprush,yppass,#Rush,Gain,Loss,NetRush,RushTD,#PassAtt,#PassComp,Int,PassYds,PassTD,Tot.Yds,#Rec.,RecYds,RecTD,#Punts,PuntYds,YardspPunt,PuntRet#,PuntRetYds,PuntRetTD,KORet#,KORetYds,KORetTD,Tot.TD,XPAtt,XPComp,X2Att,X2Comp,FGAtt,FGMade,Safeties,FDRush,FDPass,FDPen,Tot.FD,#Pen,PenYds,#Fumb,FumbLos,DPassInt,DPassIntRetYds,DPassIntRetTD,DFumRec,DFumRetYds,DFumRetTD,,#Plays,playppt,ypplay,yprush,yppass,#Rush,Gain,Loss,NetRush,RushTD,#PassAtt,#PassComp,Int,PassYds,PassTD,Tot.Yds,#Rec.,RecYds,RecTD,#Punts,PuntYds,YardspPunt,PuntRet#,PuntRetYds,PuntRetTD,KORet#,KORetYds,KORetTD,Tot.TD,XPAtt,XPComp,X2Att,X2Comp,FGAtt,FGMade,Safeties,FDRush,FDPass,FDPen,Tot.FD,#Pen,PenYds,#Fumb,FumbLos,DPassInt,DPassIntRetYds,DPassIntRetTD,DFumRec,DFumRetYds,DFumRetTD
Hawaii,USC,Hawaii-USC,2010,1,9/2/10,1,WAC,non,Hawaii,10,4,Greg McMackin,vs,Pac10,BCS,USC,8,5,Lane Kiffin,,36,49,-13,L,0,1,0,0,53.5,o,21.0,W,,"44,204",,0,1,0,1,,,NR,NR,37,34,NR,NR,NR,NR,NR,0,0,Hawaii,NR,NR,NR,NR,NR,0,1,,14,NR,NR,NR,14,590,NR,NR,NR,0,0,USC,16,520,NR,NR,NR,1,0,,78,0.5,7.5,4.4,9.4,29,186,57,129,1,49,27,0,459,3,588,27,459,3,3,130,43.3,0,0,0,4,82,0,4,3,3,1,0,3,3,0,10,17,4,31,5,42,2,0,0,0,0,1,-2,0,,62,0.8,8.5,7.0,10.3,35,252,6,246,1,27,20,0,278,5,524,20,278,5,2,88,44.0,3,100,1,7,101,0,7,3,3,4,2,0,0,0,13,11,1,25,11,100,2,1,0,0,0,0,0,0
USC,Hawaii,Hawaii-USC,2010,1,9/2/10,1,Pac10,BCS,USC,8,5,Lane Kiffin,@,WAC,non,Hawaii,10,4,Greg McMackin,,49,36,13,W,1,0,0,0,53.5,o,-21.0,L,,"44,204",,0,1,0,1,,,14,NR,NR,NR,14,590,NR,NR,NR,0,0,USC,16,520,NR,NR,NR,1,0,,NR,NR,37,34,NR,NR,NR,NR,NR,0,0,Hawaii,NR,NR,NR,NR,NR,0,1,,62,0.8,8.5,7.0,10.3,35,252,6,246,1,27,20,0,278,5,524,20,278,5,2,88,44.0,3,100,1,7,101,0,7,3,3,4,2,0,0,0,13,11,1,25,11,100,2,1,0,0,0,0,0,0,,78,0.5,7.5,4.4,9.4,29,186,57,129,1,49,27,0,459,3,588,27,459,3,3,130,43.3,0,0,0,4,82,0,4,3,3,1,0,3,3,0,10,17,4,31,5,42,2,0,0,0,0,1,-2,0
Idaho,North Dakota,Idaho-N Dakota,2010,1,9/2/10,1,WAC,non,Idaho,6,7,Robb Akey,vs,zAA,zAA,N Dakota,0,2,Chris Mussman,,45,0,45,W,1,0,0,0,60.5,u,-20.0,W,,"11,466",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Idaho,NR,NR,NR,NR,NR,1,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,N Dakota,NR,NR,NR,NR,NR,0,1,,74,0.6,7.4,4.8,8.8,26,156,30,126,3,48,30,1,421,3,547,30,421,3,5,197,39.4,2,9,0,1,15,0,6,6,6,0,0,2,1,0,6,18,2,26,12,110,1,0,2,75,0,1,10,0,,68,0.0,4.0,4.5,3.5,33,164,16,148,0,35,19,2,122,0,270,19,122,0,7,279,39.9,1,21,0,5,103,0,0,0,0,0,0,0,0,0,7,8,2,17,6,62,3,3,1,0,0,0,0,0
North Dakota,Idaho,Idaho-N Dakota,2010,1,9/2/10,1,zAA,zAA,N Dakota,0,2,Chris Mussman,@,WAC,non,Idaho,6,7,Robb Akey,,0,45,-45,L,0,1,0,0,60.5,u,20.0,L,,"11,466",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,N Dakota,NR,NR,NR,NR,NR,0,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Idaho,NR,NR,NR,NR,NR,1,0,,68,0.0,4.0,4.5,3.5,33,164,16,148,0,35,19,2,122,0,270,19,122,0,7,279,39.9,1,21,0,5,103,0,0,0,0,0,0,0,0,0,7,8,2,17,6,62,3,3,1,0,0,0,0,0,,74,0.6,7.4,4.8,8.8,26,156,30,126,3,48,30,1,421,3,547,30,421,3,5,197,39.4,2,9,0,1,15,0,6,6,6,0,0,2,1,0,6,18,2,26,12,110,1,0,2,75,0,1,10,0
Iowa State,Northern Illinois,Iowa St-N Illinois,2010,1,9/2/10,1,Big12,BCS,Iowa St,5,7,Paul Rhoads,vs,MAC,non,N Illinois,11,3,Jerry Kill,,27,10,17,W,1,0,0,0,51.0,u,-4.5,W,,"43,116",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Iowa St,NR,NR,NR,NR,NR,1,0,,NR,49,29,26,NR,NR,49,1,NR,0,0,N Illinois,NR,NR,NR,NR,NR,0,1,,73,0.4,5.5,3.7,7.4,37,164,26,138,3,36,27,2,265,0,403,27,265,0,1,18,18.0,1,11,0,1,7,0,3,3,3,0,0,3,2,0,8,13,4,25,5,60,1,1,3,20,0,0,0,0,,65,0.2,3.8,4.3,3.2,36,169,13,156,1,29,14,3,93,0,249,14,93,0,4,135,33.8,0,0,0,5,106,0,1,1,1,0,0,3,1,0,11,3,0,14,4,51,1,0,2,56,0,0,0,0
Northern Illinois,Iowa State,Iowa St-N Illinois,2010,1,9/2/10,1,MAC,non,N Illinois,11,3,Jerry Kill,@,Big12,BCS,Iowa St,5,7,Paul Rhoads,,10,27,-17,L,0,1,0,0,51.0,u,4.5,L,,"43,116",,0,1,0,1,,,NR,49,29,26,NR,NR,49,1,NR,0,0,N Illinois,NR,NR,NR,NR,NR,0,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Iowa St,NR,NR,NR,NR,NR,1,0,,65,0.2,3.8,4.3,3.2,36,169,13,156,1,29,14,3,93,0,249,14,93,0,4,135,33.8,0,0,0,5,106,0,1,1,1,0,0,3,1,0,11,3,0,14,4,51,1,0,2,56,0,0,0,0,,73,0.4,5.5,3.7,7.4,37,164,26,138,3,36,27,2,265,0,403,27,265,0,1,18,18.0,1,11,0,1,7,0,3,3,3,0,0,3,2,0,8,13,4,25,5,60,1,1,3,20,0,0,0,0
Kent,Murray State,Kent-Murray St,2010,1,9/2/10,1,MAC,non,Kent,5,7,Doug Martin,vs,zAA,zAA,Murray St,0,1,Chris Hatcher,,41,10,31,W,1,0,0,0,46.5,o,-29.0,W,,"16,535",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Kent,NR,NR,NR,NR,NR,1,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Murray St,NR,NR,NR,NR,NR,0,1,,74,0.6,5.6,3.5,7.9,39,172,35,137,1,35,24,1,275,3,412,24,275,3,5,231,46.2,8,71,0,3,132,1,5,5,5,0,0,2,2,0,8,11,2,21,7,60,2,1,0,0,0,0,0,0,,69,0.1,2.8,-3.0,5.5,22,21,86,-65,0,47,30,0,258,1,193,30,258,1,10,422,42.2,2,8,0,8,134,0,1,1,1,0,0,1,1,0,0,11,1,12,8,71,2,1,1,40,0,0,0,0
Murray State,Kent,Kent-Murray St,2010,1,9/2/10,1,zAA,zAA,Murray St,0,1,Chris Hatcher,@,MAC,non,Kent,5,7,Doug Martin,,10,41,-31,L,0,1,0,0,46.5,o,29.0,L,,"16,535",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Murray St,NR,NR,NR,NR,NR,0,1,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Kent,NR,NR,NR,NR,NR,1,0,,69,0.1,2.8,-3.0,5.5,22,21,86,-65,0,47,30,0,258,1,193,30,258,1,10,422,42.2,2,8,0,8,134,0,1,1,1,0,0,1,1,0,0,11,1,12,8,71,2,1,1,40,0,0,0,0,,74,0.6,5.6,3.5,7.9,39,172,35,137,1,35,24,1,275,3,412,24,275,3,5,231,46.2,8,71,0,3,132,1,5,5,5,0,0,2,2,0,8,11,2,21,7,60,2,1,0,0,0,0,0,0
Marshall,Ohio State,Marshall-Ohio St,2010,1,9/2/10,1,CUSA,non,Marshall,5,7,"John ""Doc"" Holliday",@,Big10,BCS,Ohio St,12,1,Jim Tressel,,7,45,-38,L,0,1,0,0,47.0,o,28.0,L,,"105,040",,0,1,0,1,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Marshall,NR,NR,NR,NR,NR,0,1,,2,2,5,5,2,1400,2,1392,NR,0,0,Ohio St,2,1412,2,1397,NR,1,0,,56,0.1,3.6,2.1,4.4,21,67,23,44,0,35,18,1,155,0,199,18,155,0,8,295,36.9,1,2,0,7,173,0,1,1,1,0,0,1,0,0,3,6,2,11,8,60,4,2,0,0,0,0,0,1,,68,0.7,7.8,6.8,9.2,41,292,12,280,2,27,18,0,249,3,529,18,249,3,4,163,40.8,4,30,0,2,36,0,6,6,6,0,0,2,1,0,12,10,1,23,7,47,1,0,1,30,1,0,0,0
Ohio State,Marshall,Marshall-Ohio St,2010,1,9/2/10,1,Big10,BCS,Ohio St,12,1,Jim Tressel,vs,CUSA,non,Marshall,5,7,"John ""Doc"" Holliday",,45,7,38,W,1,0,0,0,47.0,o,-28.0,W,,"105,040",,0,1,0,1,,,2,2,5,5,2,1400,2,1392,NR,0,0,Ohio St,2,1412,2,1397,NR,1,0,,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0,Marshall,NR,NR,NR,NR,NR,0,1,,68,0.7,7.8,6.8,9.2,41,292,12,280,2,27,18,0,249,3,529,18,249,3,4,163,40.8,4,30,0,2,36,0,6,6,6,0,0,2,1,0,12,10,1,23,7,47,1,0,1,30,1,0,0,0,,56,0.1,3.6,2.1,4.4,21,67,23,44,0,35,18,1,155,0,199,18,155,0,8,295,36.9,1,2,0,7,173,0,1,1,1,0,0,1,0,0,3,6,2,11,8,60,4,2,0,0,0,0,0,1
